shipment_id,supplier_id,product_id,shipment_date,expected_arrival,actual_arrival,shipment_quantity,shipment_status,product_name,category,unit_price,product_supplier_id,supplier_name,city,lead_time,rating,inventory_id,warehouse,stock_quantity,last_updated,disruption_id,disruption_type,severity,description,reported_date,decision_id,recommended_action,action_taken,decision_date,outcome_id,outcome_status,delay_days,cost_change,remarks,lead_time_category,cost_impact,delivery_delay,supplier_avg_delay,shipment_month,shipment_year,shipment_quarter,shipment_weekday,is_delayed,delay_category,high_severity,large_shipment,inventory_status,shipment_value
1,6,29,2025-06-03,2025-06-07,2025-06-12,16,In Transit,Architecto Product,Furniture,4183.31,3,Bhavsar-Sampath,Bangalore,2.52,3.72,29,Chennai Warehouse,981,2026-06-27,,,,,,,,,,,,,,,Fast,No Cost,5,1.5972222222222223,June,2025,2,Tuesday,1,Major Delay,0,0,High,66932.96
2,7,84,2025-06-16,2025-06-26,2025-06-24,106,Delayed,Ab Product,Clothing,1108.56,18,Wali PLC,Khandwa,2.76,4.43,84,Bangalore Warehouse,80,2026-06-28,,,,,,,,,,,,,,,Fast,No Cost,-2,1.4314720812182742,June,2025,2,Monday,0,On Time,0,0,Low,117507.36
3,9,119,2026-03-17,2026-03-23,2026-03-24,325,In Transit,Maxime Product,Furniture,4794.94,19,"Loyal, Varma and Tripathi",Firozabad,9.75,4.64,119,Mumbai Warehouse,383,2026-07-01,45.0,Supplier Delay,High,Delectus quos voluptatum quas ducimus recusandae minus consectetur.,2026-05-10,45.0,Change Transport Route,Approved,2025-09-14,45.0,Failed,5.0,5007.42,Issue resolved successfully,Average,High,1,1.3277310924369747,March,2026,1,Tuesday,1,Minor Delay,1,1,High,1558355.4999999998
4,5,140,2025-04-20,2025-04-23,2025-04-28,419,Cancelled,Recusandae Product,Groceries,2705.55,15,Chander-Sibal,Kochi,6.81,4.37,140,Hyderabad Warehouse,927,2026-06-18,,,,,,,,,,,,,,,Average,No Cost,5,1.7407407407407407,April,2025,2,Sunday,1,Major Delay,0,1,High,1133625.4500000002
5,18,56,2025-11-20,2025-11-23,2025-11-28,136,Delayed,Error Product,Electronics,333.18,11,Raju and Sons,Etawah,3.81,4.27,56,Chennai Warehouse,777,2026-07-07,,,,,,,,,,,,,,,Fast,No Cost,5,1.9109947643979057,November,2025,4,Thursday,1,Major Delay,0,0,High,45312.48
6,12,48,2026-07-11,2026-07-15,2026-07-16,460,Delivered,Neque Product,Medical,518.28,5,Thakur and Sons,Kanpur,5.83,3.5,48,Delhi Warehouse,626,2026-06-27,,,,,,,,,,,,,,,Average,No Cost,1,1.5613207547169812,July,2026,3,Saturday,1,Minor Delay,0,1,High,238408.8
7,20,142,2025-01-17,2025-01-27,2025-01-29,255,Cancelled,Dolorum Product,Groceries,1310.64,7,Chakraborty-Sengupta,Malda,5.0,3.56,142,Mumbai Warehouse,982,2026-07-09,,,,,,,,,,,,,,,Fast,No Cost,2,1.3526570048309179,January,2025,1,Friday,1,Minor Delay,0,0,High,334213.2
8,12,19,2026-06-10,2026-06-16,2026-06-16,358,Cancelled,Officia Product,Electronics,667.17,9,Thakur and Sons,Kanpur,5.83,3.5,19,Bangalore Warehouse,273,2026-06-24,,,,,,,,,,,,,,,Average,No Cost,0,1.5613207547169812,June,2026,2,Wednesday,0,On Time,0,1,Medium,238846.86
9,13,126,2025-06-20,2025-06-23,2025-06-22,40,Delayed,Nemo Product,Groceries,3018.63,8,"Borah, Gill and Varma",Dehri,6.15,3.78,126,Chennai Warehouse,306,2026-07-05,,,,,,,,,,,,,,,Average,No Cost,-1,1.5668449197860963,June,2025,2,Friday,0,On Time,0,0,High,120745.20000000001
10,16,104,2025-12-22,2025-12-31,2026-01-02,388,In Transit,Laboriosam Product,Clothing,2160.36,3,Handa-Manda,Vijayanagaram,8.66,4.77,104,Delhi Warehouse,338,2026-06-24,,,,,,,,,,,,,,,Average,No Cost,2,1.4335260115606936,December,2025,4,Monday,1,Minor Delay,0,1,High,838219.68
11,15,124,2025-08-04,2025-08-14,2025-08-15,145,Delayed,Excepturi Product,Furniture,756.02,2,Sastry and Sons,Haldia,5.45,4.34,124,Chennai Warehouse,123,2026-07-09,,,,,,,,,,,,,,,Average,No Cost,1,1.4691943127962086,August,2025,3,Monday,1,Minor Delay,0,0,Medium,109622.9
12,5,45,2025-11-25,2025-12-05,2025-12-04,131,Cancelled,Nobis Product,Medical,164.54,6,Chander-Sibal,Kochi,6.81,4.37,45,Bangalore Warehouse,567,2026-07-04,357.0,Traffic,High,Eaque doloremque officia impedit molestiae.,2025-07-19,357.0,Expedite Shipment,Rejected,2026-05-21,357.0,Pending,9.0,12664.1,Shipment rerouted,Average,High,-1,1.7407407407407407,November,2025,4,Tuesday,0,On Time,1,0,High,21554.739999999998
13,18,25,2026-02-25,2026-03-06,2026-03-05,461,Delivered,Vel Product,Automotive,3265.92,1,Raju and Sons,Etawah,3.81,4.27,25,Bangalore Warehouse,437,2026-07-06,,,,,,,,,,,,,,,Fast,No Cost,-1,1.9109947643979057,February,2026,1,Wednesday,0,On Time,0,1,High,1505589.12
14,11,80,2025-03-14,2025-03-18,2025-03-23,86,In Transit,Corporis Product,Medical,4255.47,15,Banerjee Group,Alappuzha,8.52,4.3,80,Mumbai Warehouse,656,2026-07-08,,,,,,,,,,,,,,,Average,No Cost,5,1.3842592592592593,March,2025,1,Friday,1,Major Delay,0,0,High,365970.42000000004
15,11,89,2025-11-21,2025-11-28,2025-11-27,92,Delivered,Fugiat Product,Electronics,4524.8,7,Banerjee Group,Alappuzha,8.52,4.3,89,Bangalore Warehouse,597,2026-06-18,,,,,,,,,,,,,,,Average,No Cost,-1,1.3842592592592593,November,2025,4,Friday,0,On Time,0,0,High,416281.60000000003
