order_id,supplier_id,product_id,order_date,quantity,expected_delivery,order_status
1,5,19,2025-04-24,65,2025-05-09,Pending
2,17,47,2026-04-08,248,2026-04-14,Shipped
3,15,93,2024-09-24,90,2024-10-08,Pending
4,8,28,2025-02-05,73,2025-02-13,Delivered
5,18,100,2026-07-03,81,2026-07-10,Pending
6,16,3,2024-10-20,173,2024-10-23,Confirmed
7,2,8,2025-10-20,113,2025-11-03,Shipped
8,11,40,2024-10-26,39,2024-11-05,Pending
9,5,83,2026-04-23,272,2026-04-29,Pending
10,16,9,2025-05-20,81,2025-06-01,Pending
11,16,100,2026-07-11,280,2026-07-18,Pending
12,8,14,2025-12-07,274,2025-12-11,Cancelled
13,13,54,2026-02-01,205,2026-02-08,Shipped
14,12,146,2024-11-13,269,2024-11-26,Delivered
15,19,124,2026-07-14,298,2026-07-24,Delivered
16,2,90,2025-06-24,148,2025-07-09,Confirmed
17,11,67,2025-06-04,40,2025-06-18,Cancelled
18,11,41,2024-11-01,104,2024-11-11,Delivered
19,6,100,2025-11-22,259,2025-11-25,Cancelled
20,4,15,2025-12-09,41,2025-12-22,Pending
21,11,93,2025-04-13,284,2025-04-26,Delivered
22,11,90,2026-03-25,297,2026-04-04,Pending
23,10,131,2026-04-13,162,2026-04-24,Shipped
24,1,49,2024-11-10,162,2024-11-23,Cancelled
25,1,46,2025-10-21,15,2025-11-04,Pending
26,1,48,2025-03-21,29,2025-03-25,Cancelled
27,2,73,2025-05-07,253,2025-05-10,Delivered
28,10,142,2024-08-27,273,2024-09-05,Cancelled
29,6,146,2025-12-10,132,2025-12-22,Shipped
30,15,59,2025-10-03,224,2025-10-08,Confirmed
31,18,120,2025-06-25,248,2025-07-05,Cancelled
32,12,84,2025-02-08,22,2025-02-13,Delivered
33,9,48,2026-02-04,187,2026-02-18,Delivered
34,16,26,2024-09-30,150,2024-10-07,Confirmed
35,6,58,2024-12-24,159,2025-01-06,Confirmed
36,20,52,2026-04-18,43,2026-04-24,Delivered
37,2,94,2025-05-18,143,2025-05-29,Delivered
38,12,82,2025-05-09,44,2025-05-14,Confirmed
39,15,25,2026-02-24,190,2026-03-08,Cancelled
40,18,55,2025-07-11,60,2025-07-19,Cancelled
41,2,39,2026-04-16,209,2026-04-25,Pending
42,13,125,2025-08-03,191,2025-08-07,Delivered
43,10,36,2024-08-17,142,2024-08-30,Confirmed
44,9,20,2025-05-29,235,2025-06-07,Pending
45,2,128,2026-02-10,27,2026-02-12,Shipped
46,18,15,2024-09-01,17,2024-09-14,Delivered
47,9,3,2026-07-03,152,2026-07-10,Cancelled
48,6,121,2026-02-19,274,2026-02-21,Pending
49,6,31,2025-06-19,17,2025-07-01,Confirmed
50,6,52,2025-05-27,288,2025-06-02,Confirmed
51,19,10,2025-06-15,243,2025-06-30,Pending
52,2,122,2025-02-15,261,2025-02-25,Shipped
53,19,49,2025-08-13,207,2025-08-28,Delivered
54,9,10,2026-02-20,146,2026-03-02,Delivered
55,1,129,2024-09-10,149,2024-09-15,Confirmed
56,16,102,2024-08-24,222,2024-09-06,Pending
57,16,35,2025-11-05,165,2025-11-08,Shipped
58,4,21,2026-04-21,21,2026-04-26,Confirmed
59,12,122,2026-03-31,206,2026-04-11,Shipped
60,18,109,2024-09-08,23,2024-09-11,Cancelled
61,9,136,2025-08-07,94,2025-08-15,Cancelled
62,14,126,2025-04-14,127,2025-04-24,Pending
63,19,64,2024-09-29,117,2024-10-01,Confirmed
64,8,102,2025-01-10,122,2025-01-19,Cancelled
65,4,73,2024-11-12,16,2024-11-18,Cancelled
66,9,80,2026-01-28,261,2026-02-02,Shipped
67,10,93,2025-07-31,124,2025-08-04,Pending
68,12,89,2026-04-25,187,2026-05-01,Pending
69,20,51,2025-05-12,269,2025-05-22,Pending
70,3,3,2024-10-17,45,2024-10-20,Pending
71,9,118,2026-05-30,77,2026-06-14,Pending
72,1,123,2024-09-06,92,2024-09-16,Pending
73,3,45,2025-08-02,284,2025-08-06,Shipped
74,4,72,2025-04-13,147,2025-04-23,Confirmed
75,14,23,2024-10-27,155,2024-10-31,Confirmed
76,17,51,2025-12-08,158,2025-12-13,Confirmed
77,8,78,2025-08-29,58,2025-09-07,Delivered
78,20,32,2024-07-23,270,2024-07-30,Confirmed
79,3,41,2025-06-30,17,2025-07-03,Cancelled
80,3,137,2025-03-22,71,2025-03-26,Delivered
81,20,43,2025-03-31,121,2025-04-06,Shipped
82,10,67,2024-09-24,141,2024-10-07,Cancelled
83,10,17,2025-08-10,17,2025-08-12,Delivered
84,7,111,2025-01-24,113,2025-02-07,Delivered
85,9,51,2024-10-08,285,2024-10-18,Confirmed
86,13,23,2026-05-07,149,2026-05-20,Pending
87,19,140,2025-10-31,236,2025-11-12,Confirmed
88,18,41,2025-01-15,212,2025-01-22,Cancelled
89,16,101,2026-01-20,290,2026-02-01,Delivered
